alpha_transition_guess,alpha_transition_hi,alpha_transition_lo,c_upd,candidate_pass,candidate_pass_profile,chi_peak_alpha,chi_peak_interior,chi_peak_ratio,chi_peak_value,depr_lambda,depr_nu,depr_psi,late_window_updates,left_edge_active_blocks_mean,left_edge_alpha,left_edge_late_update_count_mean,left_edge_p_active,left_edge_p_bursty,left_edge_p_sustained,left_edge_rho,mechanism,mechanism_tag,n_seeds,p_active_span,p_sustained_span,p_sustained_violations,rho_span,rho_violations,right_edge_active_blocks_mean,right_edge_alpha,right_edge_late_update_count_mean,right_edge_p_active,right_edge_p_bursty,right_edge_p_sustained,right_edge_rho,strict_candidate_pass,total_violations,z_cut
0.11,0.12,0.1,0.5,0,strict,0.12,0,inf,2.4976979421752762e-05,0.01,0.5,0.75,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p50__z1p10__lam0p010__nu0p50__psi0p75,12,1.0,1.0,0,0.021033013844515443,0,4.0,0.12,6.583333333333333,1.0,0.0,1.0,0.021033013844515443,0,0,1.1
0.11,0.12,0.1,0.5,0,strict,0.12,0,inf,1.732149656493071e-05,0.01,0.5,0.75,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p50__z1p05__lam0p010__nu0p50__psi0p75,12,1.0,1.0,0,0.018104366347177846,0,4.0,0.12,5.666666666666667,1.0,0.0,1.0,0.018104366347177846,0,0,1.05
0.11,0.12,0.1,0.52,0,strict,0.12,0,inf,2.7528807040693454e-05,0.01,0.5,0.75,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p10__lam0p010__nu0p50__psi0p75,12,1.0,0.9166666666666666,0,0.013312034078807239,0,3.4166666666666665,0.12,4.166666666666667,1.0,0.08333333333333333,0.9166666666666666,0.013312034078807239,0,0,1.1
0.11,0.12,0.1,0.52,0,strict,0.12,0,inf,3.804542995511567e-05,0.01,0.5,0.75,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p05__lam0p010__nu0p50__psi0p75,12,1.0,0.5833333333333334,0,0.01118210862619808,0,2.9166666666666665,0.12,3.5,1.0,0.4166666666666667,0.5833333333333334,0.01118210862619808,0,0,1.05
0.12,0.12,0.1,0.54,0,strict,0.12,0,inf,2.8688728685666495e-05,0.01,0.5,0.75,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p54__z1p05__lam0p010__nu0p50__psi0p75,12,0.8333333333333334,0.3333333333333333,0,0.006123535676251331,0,1.8333333333333333,0.12,1.9166666666666667,0.8333333333333334,0.5,0.3333333333333333,0.006123535676251331,0,0,1.05
0.12,0.12,0.1,0.54,0,strict,0.12,0,inf,8.274107734141006e-06,0.01,0.5,0.75,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p54__z1p10__lam0p010__nu0p50__psi0p75,12,1.0,0.25,0,0.00665601703940362,0,2.0833333333333335,0.12,2.0833333333333335,1.0,0.75,0.25,0.00665601703940362,0,0,1.1
0.12,0.12,0.1,0.56,0,strict,0.12,0,inf,9.27937315978431e-06,0.01,0.5,0.75,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p56__z1p10__lam0p010__nu0p50__psi0p75,12,0.6666666666666666,0.08333333333333333,0,0.003194888178913738,0,1.0,0.12,1.0,0.6666666666666666,0.5833333333333334,0.08333333333333333,0.003194888178913738,0,0,1.1
0.12,0.12,0.1,0.5,0,strict,0.12,0,inf,1.3841731630011593e-05,0.01,0.5,0.75,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p50__z1p00__lam0p010__nu0p50__psi0p75,12,0.16666666666666666,0.08333333333333333,0,0.0013312034078807242,0,0.4166666666666667,0.12,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0013312034078807242,0,0,1.0
0.0,0.01,0.0,0.6,0,strict,0.08,1,inf,1.5465621932973851e-06,0.01,0.5,0.75,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p60__z1p10__lam0p010__nu0p50__psi0p75,12,0.16666666666666666,0.0,0,0.0005324813631522896,0,0.08333333333333333,0.12,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0002662406815761448,0,0,1.1
0.0,0.01,0.0,0.5,0,strict,0.1,1,inf,8.506092063135617e-07,0.01,0.5,1.0,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p50__z1p10__lam0p010__nu0p50__psi1p00,12,0.08333333333333333,0.0,0,0.0002662406815761448,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.1
0.0,0.01,0.0,0.5,0,strict,0.0,0,0.0,0.0,0.01,0.5,1.0,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p50__z1p00__lam0p010__nu0p50__psi1p00,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.0,0.01,0.0,0.5,0,strict,0.0,0,0.0,0.0,0.01,0.5,1.25,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p50__z1p00__lam0p010__nu0p50__psi1p25,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.0,0.01,0.0,0.5,0,strict,0.0,0,0.0,0.0,0.02,0.5,0.75,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p50__z1p00__lam0p020__nu0p50__psi0p75,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.0,0.01,0.0,0.5,0,strict,0.0,0,0.0,0.0,0.02,0.5,1.0,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p50__z1p00__lam0p020__nu0p50__psi1p00,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.0,0.01,0.0,0.5,0,strict,0.0,0,0.0,0.0,0.02,0.5,1.25,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p50__z1p00__lam0p020__nu0p50__psi1p25,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.0,0.01,0.0,0.5,0,strict,0.0,0,0.0,0.0,0.03,0.5,0.75,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p50__z1p00__lam0p030__nu0p50__psi0p75,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.0,0.01,0.0,0.5,0,strict,0.0,0,0.0,0.0,0.03,0.5,1.0,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p50__z1p00__lam0p030__nu0p50__psi1p00,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.0,0.01,0.0,0.5,0,strict,0.0,0,0.0,0.0,0.03,0.5,1.25,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p50__z1p00__lam0p030__nu0p50__psi1p25,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.0,0.01,0.0,0.5,0,strict,0.0,0,0.0,0.0,0.01,0.5,1.0,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p50__z1p05__lam0p010__nu0p50__psi1p00,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.05
0.0,0.01,0.0,0.5,0,strict,0.0,0,0.0,0.0,0.01,0.5,1.25,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p50__z1p05__lam0p010__nu0p50__psi1p25,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.05
0.0,0.01,0.0,0.5,0,strict,0.0,0,0.0,0.0,0.02,0.5,0.75,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p50__z1p05__lam0p020__nu0p50__psi0p75,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.05
0.0,0.01,0.0,0.5,0,strict,0.0,0,0.0,0.0,0.02,0.5,1.0,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p50__z1p05__lam0p020__nu0p50__psi1p00,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.05
0.0,0.01,0.0,0.5,0,strict,0.0,0,0.0,0.0,0.02,0.5,1.25,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p50__z1p05__lam0p020__nu0p50__psi1p25,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.05
0.0,0.01,0.0,0.5,0,strict,0.0,0,0.0,0.0,0.03,0.5,0.75,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p50__z1p05__lam0p030__nu0p50__psi0p75,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.05
0.0,0.01,0.0,0.5,0,strict,0.0,0,0.0,0.0,0.03,0.5,1.0,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p50__z1p05__lam0p030__nu0p50__psi1p00,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.05
0.0,0.01,0.0,0.5,0,strict,0.0,0,0.0,0.0,0.03,0.5,1.25,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p50__z1p05__lam0p030__nu0p50__psi1p25,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.05
0.0,0.01,0.0,0.5,0,strict,0.0,0,0.0,0.0,0.01,0.5,1.25,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p50__z1p10__lam0p010__nu0p50__psi1p25,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.1
0.0,0.01,0.0,0.5,0,strict,0.0,0,0.0,0.0,0.02,0.5,0.75,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p50__z1p10__lam0p020__nu0p50__psi0p75,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.1
0.0,0.01,0.0,0.5,0,strict,0.0,0,0.0,0.0,0.02,0.5,1.0,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p50__z1p10__lam0p020__nu0p50__psi1p00,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.1
0.0,0.01,0.0,0.5,0,strict,0.0,0,0.0,0.0,0.02,0.5,1.25,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p50__z1p10__lam0p020__nu0p50__psi1p25,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.1
0.0,0.01,0.0,0.5,0,strict,0.0,0,0.0,0.0,0.03,0.5,0.75,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p50__z1p10__lam0p030__nu0p50__psi0p75,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.1
0.0,0.01,0.0,0.5,0,strict,0.0,0,0.0,0.0,0.03,0.5,1.0,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p50__z1p10__lam0p030__nu0p50__psi1p00,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.1
0.0,0.01,0.0,0.5,0,strict,0.0,0,0.0,0.0,0.03,0.5,1.25,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p50__z1p10__lam0p030__nu0p50__psi1p25,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.1
0.0,0.01,0.0,0.52,0,strict,0.0,0,0.0,0.0,0.01,0.5,0.75,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p00__lam0p010__nu0p50__psi0p75,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.0,0.01,0.0,0.52,0,strict,0.0,0,0.0,0.0,0.01,0.5,1.0,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p00__lam0p010__nu0p50__psi1p00,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.0,0.01,0.0,0.52,0,strict,0.0,0,0.0,0.0,0.01,0.5,1.25,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p00__lam0p010__nu0p50__psi1p25,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.0,0.01,0.0,0.52,0,strict,0.0,0,0.0,0.0,0.02,0.5,0.75,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p00__lam0p020__nu0p50__psi0p75,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.0,0.01,0.0,0.52,0,strict,0.0,0,0.0,0.0,0.02,0.5,1.0,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p00__lam0p020__nu0p50__psi1p00,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.0,0.01,0.0,0.52,0,strict,0.0,0,0.0,0.0,0.02,0.5,1.25,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p00__lam0p020__nu0p50__psi1p25,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.0,0.01,0.0,0.52,0,strict,0.0,0,0.0,0.0,0.03,0.5,0.75,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p00__lam0p030__nu0p50__psi0p75,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.0,0.01,0.0,0.52,0,strict,0.0,0,0.0,0.0,0.03,0.5,1.0,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p00__lam0p030__nu0p50__psi1p00,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.0,0.01,0.0,0.52,0,strict,0.0,0,0.0,0.0,0.03,0.5,1.25,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p00__lam0p030__nu0p50__psi1p25,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.0
0.0,0.01,0.0,0.52,0,strict,0.0,0,0.0,0.0,0.01,0.5,1.0,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p05__lam0p010__nu0p50__psi1p00,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.05
0.0,0.01,0.0,0.52,0,strict,0.0,0,0.0,0.0,0.01,0.5,1.25,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p05__lam0p010__nu0p50__psi1p25,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.05
0.0,0.01,0.0,0.52,0,strict,0.0,0,0.0,0.0,0.02,0.5,0.75,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p05__lam0p020__nu0p50__psi0p75,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.05
0.0,0.01,0.0,0.52,0,strict,0.0,0,0.0,0.0,0.02,0.5,1.0,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p05__lam0p020__nu0p50__psi1p00,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.05
0.0,0.01,0.0,0.52,0,strict,0.0,0,0.0,0.0,0.02,0.5,1.25,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p05__lam0p020__nu0p50__psi1p25,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.05
0.0,0.01,0.0,0.52,0,strict,0.0,0,0.0,0.0,0.03,0.5,0.75,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi0p75,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.05
0.0,0.01,0.0,0.52,0,strict,0.0,0,0.0,0.0,0.03,0.5,1.0,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,12,0.0,0.0,0,0.0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0,1.05
