condition,phase,family,metric_horizon,alpha,c_upd,total_timesteps,n_seeds,runtime_sec_mean,runtime_sec_sd,support_total_mean,support_total_sd,borrow_limit_mean,borrow_limit_sd,borrow_interest_mean,borrow_interest_sd,total_timesteps_mean,total_timesteps_sd,eval_done_count_mean,eval_done_count_sd,eval_return_end_mean_mean,eval_return_end_mean_sd,eval_len_end_mean_mean,eval_len_end_mean_sd,eval_CSR_post_mean,eval_CSR_post_sd,eval_CSR_pre_mean,eval_CSR_pre_sd,eval_dbar_post_mean_mean,eval_dbar_post_mean_sd,eval_dbar_pre_mean_mean,eval_dbar_pre_mean_sd,eval_occupied_post_mean_mean,eval_occupied_post_mean_sd,eval_occupied_pre_mean_mean,eval_occupied_pre_mean_sd,eval_max_tilde_post_mean_mean,eval_max_tilde_post_mean_sd,eval_max_tilde_pre_mean_mean,eval_max_tilde_pre_mean_sd,eval_episodes_per_env_mean,eval_episodes_per_env_sd,eval_t_eval_mean,eval_t_eval_sd,eval_done_per_env_min_mean,eval_done_per_env_min_sd,eval_done_per_env_max_mean,eval_done_per_env_max_sd,mean_update_fraction_mean,mean_update_fraction_sd,final_executed_updates_mean,final_executed_updates_sd,final_energy_mean,final_energy_sd,total_support_injected_mean,total_support_injected_sd,total_debt_charge_mean,total_debt_charge_sd,max_debt_level_mean,max_debt_level_sd,final_vartd_mean,final_vartd_sd,train_final_return_end_mean_mean,train_final_return_end_mean_sd,I_R_full_mean,I_R_full_sd,learned_R_full_0p5_mean,learned_R_full_0p5_sd,I_R_full_anchor_compat_mean,I_R_full_anchor_compat_sd,above_R_THRESH_FULL_anchor_mean,above_R_THRESH_FULL_anchor_sd
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,1000000,32,3.209799203968771,2.22057326356189,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,100.0,0.0,-25.88889068365097,2.5783757920602395,26.0,0.0,0.0018749999580904841,0.005350610336984656,0.0012499999720603228,0.004212117601722992,0.6844168454408646,0.15191976190463807,0.6800044775009155,0.1490391302717938,0.2390624945401214,0.0886951778727431,0.2515624922234565,0.09850853127494996,0.9865590408444405,0.19083641104103477,0.9830197021365166,0.18528173208989124,4.0,0.0,104.0,0.0,4.0,0.0,4.0,0.0,0.0032051282469183207,0.0,1.0,0.0,0.42000001668930054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15727191790938377,0.020084383079363104,-27.3337841629982,0.6640834132409204,0.5521533385988221,1.0409470155498541,0.71875,0.45680340939917435,,,,
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,1000000,32,3.18381016531265,2.2151795515768047,0.6,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,100.0,0.0,-25.082221686840057,2.270564775735597,26.0,0.0,0.0009374999790452421,0.0029614457446095178,0.0006249999860301614,0.0035355338269073963,0.6369177447631955,0.1393105293978964,0.6332343593239784,0.13344893766499183,0.27999999350868165,0.09342928941292877,0.271562491892837,0.09768643906573649,0.9214909728616476,0.17645459009794145,0.9161832667887211,0.1702486269618265,4.0,0.0,104.0,0.0,4.0,0.0,4.0,0.0,0.006410256493836641,0.0,2.0,0.0,0.440000057220459,0.0,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.15278956503607333,0.020184436596377434,-27.09707808494568,0.6334820985214462,0.8778233543322373,0.9166769383240368,0.8125,0.39655776945626603,,,,
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,1000000,32,3.190240383687353,2.191446131008926,0.0,0.0,0.6,0.0,0.02,0.0,1000000.0,0.0,100.0,0.0,-24.982830822467804,1.953692129760583,26.0,0.0,0.0015624999650754035,0.004478893052328246,0.0012499999720603228,0.0033601074500569797,0.6226228922605515,0.1235858399869726,0.6187309864908457,0.12057701022645624,0.2809374921489507,0.09733080659244168,0.267812491976656,0.09468910987957961,0.9050935469567776,0.1556242542567241,0.899989040568471,0.15223877614735293,4.0,0.0,104.0,0.0,4.0,0.0,4.0,0.0,0.006410256493836641,0.0,2.0,0.0,-0.6000000238418579,0.0,0.0,0.0,3.3590197563171387,0.0,0.6000000238418579,0.0,0.15202427050098777,0.018998393039106228,-27.091409146785736,0.658224566840689,0.9179496322626346,0.7887484819086463,0.84375,0.36890203262847354,,,,
fragile_full__base__t4m__a0p00__c0p58,extension_full,base,long4m,0.0,0.58,4000000,32,11.523870352437427,2.186760095228631,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,100.0,0.0,-25.88889068365097,2.5783757920602395,26.0,0.0,0.0018749999580904841,0.005350610336984656,0.0012499999720603228,0.004212117601722992,0.6844168454408646,0.15191976190463807,0.6800044775009155,0.1490391302717938,0.2390624945401214,0.0886951778727431,0.2515624922234565,0.09850853127494996,0.9865590408444405,0.19083641104103477,0.9830197021365166,0.18528173208989124,4.0,0.0,104.0,0.0,4.0,0.0,4.0,0.0,0.0007999999797903001,0.0,1.0,0.0,0.42000001668930054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15869230846874416,0.02468529444066217,-27.550857186317444,0.6809614338882473,,,,,0.5521533385988221,1.0409470155498541,0.71875,0.45680340939917435
fragile_full__support__t4m__a0p00__c0p58,extension_full,support,long4m,0.0,0.58,4000000,32,11.615002776124982,2.2600101000046138,0.6,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,100.0,0.0,-24.730759382247925,1.4156019839323986,26.0,0.0,0.0009374999790452421,0.0039015091327692752,0.0012499999720603228,0.0033601074500569797,0.6173684084787965,0.08295715327353904,0.6145921014249325,0.07952594452150899,0.2693749925820157,0.07832675343844633,0.2753124909941107,0.08072191625520643,0.8999503627419472,0.11682962453571738,0.8971695434302092,0.11390216423672218,4.0,0.0,104.0,0.0,4.0,0.0,4.0,0.0,0.0015999999595806003,0.0,2.0,0.0,0.44000014662742615,0.0,0.5999999642372131,0.0,0.0,0.0,0.0,0.0,0.15494529227726161,0.023679500382249058,-27.32080453634262,0.7046158311186433,,,,,1.0197164166895751,0.5715096553879123,0.84375,0.36890203262847354
fragile_full__borrow__t4m__a0p00__c0p58,extension_full,borrow,long4m,0.0,0.58,4000000,32,11.542482414843619,2.1565354794166565,0.0,0.0,0.6,0.0,0.02,0.0,4000000.0,0.0,100.0,0.0,-24.982296645641327,1.9495238286074574,26.0,0.0,0.0015624999650754035,0.004478893052328246,0.0012499999720603228,0.0033601074500569797,0.6224658582359552,0.12359773366195913,0.6185216549783945,0.12063062044294008,0.28156249155290425,0.09685736985276364,0.267812491976656,0.0951648585028146,0.9046060293912888,0.15554254574798107,0.8994585927575827,0.15224094365262442,4.0,0.0,104.0,0.0,4.0,0.0,4.0,0.0,0.0015999999595806003,0.0,2.0,0.0,-0.6000000238418579,0.0,0.0,0.0,14.615020751953125,0.0,0.6000000238418579,0.0,0.15346196643076837,0.024007157800782067,-27.290540277957916,0.6772079220739483,,,,,0.9181652911960645,0.7870656470563256,0.84375,0.36890203262847354
edge_full__base__t1m__a0p10__c1p00,extension_full,base,full,0.1,1.0,1000000,32,3.153915676124882,2.1886602550923624,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,100.0,0.0,-24.524365484714508,2.3396838648418044,26.0,0.0,0.0012499999720603228,0.0033601074500569797,0.0012499999720603228,0.0033601074500569797,0.584230937063694,0.14317850399024262,0.5816302560269833,0.13831035953693394,0.3199999928474426,0.09370509702566648,0.3218749933876097,0.0882239634169866,0.8505675662308931,0.18158804179212207,0.8491638898849487,0.17523205061097102,4.0,0.0,104.0,0.0,4.0,0.0,4.0,0.0,0.011818910483270884,0.00150938797048181,3.6875,0.47092907485988494,0.34356025952729397,0.4176239375270963,0.0,0.0,0.0,0.0,0.0,0.0,0.14927926380187273,0.018042083220630837,-26.696829676628113,0.6108115766600012,1.103042172511011,0.9445818347880004,0.90625,0.29614458108029906,,,,
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,1000000,32,3.167896096093841,2.204462587334496,0.6,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,100.0,0.0,-24.124398410320282,1.0869797689470433,26.0,0.0,0.0018749999580904841,0.004709290643337998,0.0003124999930150807,0.0017677669134536984,0.557686603628099,0.06487526398050886,0.5565905719995499,0.06060689649038,0.3274999908171594,0.0758181191767935,0.32874999288469553,0.05534350363609431,0.8186873085796833,0.10326481591786131,0.8175089601427317,0.09876509562108077,4.0,0.0,104.0,0.0,4.0,0.0,4.0,0.0,0.012820512987673283,0.0,4.0,0.0,0.7097182124853134,0.08571804976297984,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.14852535561658442,0.017642916805507704,-26.620937824249268,0.6191075524081461,1.2645176772419167,0.43883763954531396,0.9375,0.24593468841898236,,,,
edge_full__borrow__t1m__a0p10__c1p00,extension_full,borrow,full,0.1,1.0,1000000,32,3.1853590682188155,2.168430822991824,0.0,0.0,0.6,0.0,0.02,0.0,1000000.0,0.0,100.0,0.0,-24.817089021205902,1.9808521409881799,26.0,0.0,0.002187499951105565,0.004200134312571224,0.0006249999860301614,0.002459346829219137,0.6186994761228561,0.11992562674764835,0.615421874448657,0.11620054140470999,0.2809374937787652,0.08290528265932241,0.28531249426305294,0.07657946954336707,0.906665176153183,0.15186276784647604,0.9020806364715099,0.14775171383683128,4.0,0.0,104.0,0.0,4.0,0.0,4.0,0.0,0.006410256493836641,0.0,2.0,0.0,-0.6000000238418579,0.0,0.0,0.0,3.2068377658724785,0.011719115720065608,0.6000000238418579,0.0,0.1538806026801467,0.020068189864337956,-27.085073471069336,0.643310064580682,0.9848632427249697,0.7997135757932258,0.8125,0.39655776945626603,,,,
edge_full__base__t4m__a0p10__c1p00,extension_full,base,long4m,0.1,1.0,4000000,32,11.441328559312637,1.9768200404107492,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,100.0,0.0,-23.861319065093994,0.5406206351728313,26.0,0.0,0.0024999999441206455,0.005080004966460658,0.004999999888241291,0.0067202149001139595,0.49750006292015314,0.021126951703248787,0.4989517582580447,0.021549274249743487,0.39249999169260263,0.0632965342933165,0.40187498833984137,0.07226463053350879,0.7189239747822285,0.03378896883536942,0.7205248959362507,0.03581481282905708,4.0,0.0,104.0,0.0,4.0,0.0,4.0,0.0,0.01207499991869554,0.0005124262164393718,15.09375,0.640532792341279,0.5209992650197819,0.29230833050296096,0.0,0.0,0.0,0.0,0.0,0.0,0.29817934427410364,0.03259065287060661,-25.145486414432526,0.6420625186630505,,,,,1.370728595025664,0.21826044072425785,1.0,0.0
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,4000000,32,11.488490638031237,2.1978451827625674,0.6,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,100.0,0.0,-23.7994903922081,0.6917288235254508,26.0,0.0,0.002812499937135726,0.005811209837949301,0.00468749989522621,0.006712710470190649,0.4909362271428108,0.017495359119692622,0.4919996615499258,0.017636771087125445,0.39093748945742846,0.06280329348021879,0.38499999046325684,0.055648665556351444,0.7064268849790096,0.026939462693847876,0.708040090277791,0.027834942762126162,4.0,0.0,104.0,0.0,4.0,0.0,4.0,0.0,0.012874999869382009,0.0005875043130511743,16.09375,0.7343803620257232,0.48088940558955073,0.27471345410273934,0.5999999642372131,0.0,0.0,0.0,0.0,0.0,0.3492560852319002,0.04886369569859543,-24.929637372493744,0.6085982061523223,,,,,1.3956901901174925,0.27926613980628273,1.0,0.0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,4000000,32,11.556936482937658,2.2620586904865374,0.0,0.0,0.6,0.0,0.02,0.0,4000000.0,0.0,100.0,0.0,-24.820781528949738,1.9827146291804976,26.0,0.0,0.002187499951105565,0.004200134312571224,0.0006249999860301614,0.002459346829219137,0.6194486636668444,0.12026125693706305,0.6161464843899012,0.11654165447967417,0.28249999321997166,0.08447179182706822,0.2849999940954149,0.08040221218773837,0.9081878215074539,0.15203877273041658,0.9033776242285967,0.1479902717075042,4.0,0.0,104.0,0.0,4.0,0.0,4.0,0.0,0.0015999999595806003,0.0,2.0,0.0,-0.6000000238418579,0.0,0.0,0.0,14.462827116250992,0.011706951856959157,0.6000000238418579,0.0,0.1550414247903973,0.02422311479052011,-27.304524540901184,0.6945878945438677,,,,,0.9833724961364871,0.8004655032396671,0.8125,0.39655776945626603
enabled_full__base__t1m__a1p00__c0p90,extension_full,base,full,1.0,0.9,1000000,32,3.2828977906251,2.1843181837730703,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,100.0,0.0,-23.265288412570953,0.6168212237819317,26.0,0.0,0.0037499999161809683,0.0065991200284590676,0.002812499937135726,0.004568033991888224,0.4872190188616514,0.01929326448529717,0.48742163833230734,0.018708619920911468,0.3962499895133078,0.07303335264736407,0.3934374889358878,0.058066108918457315,0.6989935003221035,0.03374119976753165,0.6993716657161713,0.03229596172321763,4.0,0.0,104.0,0.0,4.0,0.0,4.0,0.0,0.16406250139698386,0.004417025161495778,51.1875,1.3781123134153823,0.6291862879879773,0.25375610596345927,0.0,0.0,0.0,0.0,0.0,0.0,5.117909863591194,0.1725219616277772,-23.254618108272552,0.5215052416063627,1.6113592784313342,0.24902429428666054,1.0,0.0,,,,
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,1000000,32,3.286674777812493,2.182928847968107,0.6,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,100.0,0.0,-22.96612322330475,0.838716572756324,26.0,0.0,0.00437499990221113,0.006690146673675223,0.00437499990221113,0.005644008972853886,0.4846098721027374,0.02024833843174457,0.48563509434461594,0.019231443915648547,0.4237499898299575,0.0720550840969653,0.4074999876320362,0.06862708489370953,0.700157456099987,0.02989762266286851,0.7007085792720318,0.027727166793215123,4.0,0.0,104.0,0.0,4.0,0.0,4.0,0.0,0.1676682699471712,0.0035892179277235863,52.3125,1.1198358174592007,0.5951628903858364,0.24806400605378917,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,5.190867975354195,0.18652962553410696,-23.364872336387634,0.4717378694060057,1.7321388451190236,0.3386083269907229,1.0,0.0,,,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,1000000,32,3.28517905081236,2.204823153879758,0.0,0.0,0.6,0.0,0.02,0.0,1000000.0,0.0,100.0,0.0,-23.28225988149643,0.729979668181016,26.0,0.0,0.005624999874271452,0.00877588318002062,0.005312499881256372,0.006712710470190649,0.4918651496991515,0.01999326170661002,0.4926741011440754,0.01883920812916817,0.40031248796731234,0.05926889587263221,0.3974999915808439,0.06242414612430884,0.7111994829028845,0.03299562542567995,0.711591238155961,0.03142560977792423,4.0,0.0,104.0,0.0,4.0,0.0,4.0,0.0,0.16686698840931058,0.006302730936163126,52.0625,1.9664525124881524,-0.022623449156526476,0.2450546140124702,0.0,0.0,0.7163318172097206,0.023277126878809836,0.4792465614154935,0.01409013335789891,5.143918663263321,0.20027713823481078,-23.309321999549866,0.5038576627639566,1.6045075231589365,0.29470884707536393,1.0,0.0,,,,
enabled_full__base__t4m__a1p00__c0p90,extension_full,base,long4m,1.0,0.9,4000000,32,11.927499495312532,2.093730552110146,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,100.0,0.0,-26.696049749851227,3.044107394711932,26.0,0.0,0.0009374999790452421,0.002961445744609518,0.0012499999720603228,0.0033601074500569797,0.8015934061259031,0.24212992202929,0.7829698231071234,0.21980107535064636,0.20156249403953552,0.10773651515160401,0.21093749220017344,0.1071134225066327,1.1037630010396242,0.2703566668160292,1.0834255907684565,0.24622411621522247,4.0,0.0,104.0,0.0,4.0,0.0,4.0,0.0,0.1623500008136034,0.01876049335305479,202.9375,23.45061729705432,0.5845116246491671,0.27907218846752946,0.0,0.0,0.0,0.0,0.0,0.0,2.6213737167418003,1.021774953338884,-24.608876705169678,1.6789816748067419,,,,,0.22628547107443847,1.2289731067505287,0.40625,0.49899091723584604
enabled_full__support__t4m__a1p00__c0p90,extension_full,support,long4m,1.0,0.9,4000000,32,11.931152976906333,2.1818326807635935,0.6,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,100.0,0.0,-27.248997926712036,3.0732335166167393,26.0,0.0,0.0009374999790452421,0.0029614457446095178,0.0006249999860301614,0.002459346829219137,0.8435084950178862,0.259392190926707,0.8222573567181826,0.23144893223119958,0.16624999593477696,0.08582615366072491,0.17937499465188012,0.08958461274169639,1.1477735191583633,0.2915907349016423,1.1240024082362652,0.261252370875446,4.0,0.0,104.0,0.0,4.0,0.0,4.0,0.0,0.15960000036284328,0.017381635784424095,199.5,21.72704572943667,0.5533503196202219,0.2627045378592675,0.5999999642372131,0.0,0.0,0.0,0.0,0.0,2.318074267357588,0.9330211567639861,-24.907896399497986,1.459696448098389,,,,,0.003048130641192276,1.2407319627577533,0.34375,0.48255870443481425
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,1.0,0.9,4000000,32,11.952150296249897,2.2730080002935735,0.0,0.0,0.6,0.0,0.02,0.0,4000000.0,0.0,100.0,0.0,-27.328045129776,3.7465302678688013,26.0,0.0,0.0018749999580904841,0.005350610336984656,0.0012499999720603228,0.004212117601722992,0.8497500158846378,0.26086895500324436,0.8293392611667514,0.24073240405591265,0.19812499289400876,0.12596561950708804,0.21218749438412488,0.11893978250426253,1.1555990390479565,0.28925364255426045,1.1329866275191307,0.2691443779069066,4.0,0.0,104.0,0.0,4.0,0.0,4.0,0.0,0.1633000005967915,0.023828853028639067,204.125,29.786065155024335,-0.002327391324797645,0.27000464365937793,0.0,0.0,2.9080156832933426,0.29135791365364194,0.49897628743201494,0.018713920790806738,2.4026063680648804,0.9587972433218829,-24.753800570964813,1.9583155373453995,,,,,-0.028864963784523245,1.5125566695958603,0.34375,0.48255870443481425
